Sample,Maximum_Recording,Day,Positive peak,Negative peak,Intensity
8009.0,5.0,1.0,0.13,0.06,10.734553078520655
8009.0,5.0,2.0,0.12,0.06,8.306599128924915
8009.0,5.0,5.0,0.28,0.13,19.923856209300304
8010.0,5.0,0.0,0.23,0.08,8.027216082281278
8010.0,5.0,1.0,0.36,0.1,8.127072983537964
8010.0,5.0,2.0,0.24,0.12,7.391270742613187
8010.0,5.0,5.0,0.3,0.1,9.222799116173157
8011.0,6.0,0.0,0.14,0.07,8.784345534681222
8011.0,6.0,1.0,0.13,0.06,11.470336253105039
8011.0,6.0,2.0,0.13,0.06,12.093441794081933
8011.0,6.0,5.0,0.11,0.06,9.257069452185902
8011.0,6.0,6.0,0.28,0.13,17.98048851555054
8012.0,5.0,0.0,0.15,0.07,7.962516963429266
8012.0,5.0,1.0,0.13,0.06,10.564547482408479
8012.0,5.0,2.0,0.13,0.06,9.151128011382234
8012.0,5.0,5.0,0.15,0.07,10.001777883744872
8013.0,2.0,0.0,0.26,0.11,8.878818405491494
8013.0,2.0,1.0,0.15,0.07,11.05498289809799
8013.0,2.0,2.0,0.12,0.06,7.48431933443505
8014.0,5.0,0.0,0.29,0.06,9.905130583896046
8014.0,5.0,1.0,0.25,0.07,8.457414975473235
8014.0,5.0,2.0,0.13,0.06,8.846039692925281
8014.0,5.0,5.0,0.43,0.19,18.01484975419858
8015.0,5.0,0.0,0.24,0.09,8.313886791525782
8015.0,5.0,1.0,0.25,0.09,9.18127947117457
8015.0,5.0,2.0,0.12,0.06,10.719876234264042
8015.0,5.0,5.0,0.38,0.17,17.117171810445996
8016.0,6.0,0.0,0.26,0.1,7.391618089128748
8016.0,6.0,1.0,0.36,0.06,7.749536217406806
8016.0,6.0,2.0,0.12,0.06,8.412167219599276
8016.0,6.0,5.0,0.09,0.05,6.867930276709345
8016.0,6.0,6.0,0.25,0.12,15.396767517160619
8017.0,5.0,0.0,0.27,0.08,8.696406173848146
8017.0,5.0,1.0,0.21,0.07,9.323489184092395
8017.0,5.0,2.0,0.14,0.06,9.225758555427383
8017.0,5.0,5.0,0.32,0.15,20.44462872499497
8018.0,5.0,0.0,0.2,0.1,8.954985708749675
8018.0,5.0,1.0,0.155,0.06,10.173196839189885
8018.0,5.0,2.0,0.13,0.06,9.449211061748912
8018.0,5.0,5.0,0.35,0.17,20.723319751758453
8019.0,5.0,0.0,0.13,0.06,8.486862701062933
8019.0,5.0,1.0,0.24,0.1,9.03730775638001
8019.0,5.0,2.0,0.14,0.06,10.981536555293374
8019.0,5.0,5.0,0.12,0.07,7.886914919992982
8020.0,5.0,0.0,0.23,0.06,8.169840757059461
8020.0,5.0,1.0,0.125,0.045,7.630867737643118
8020.0,5.0,2.0,0.13,0.06,10.668550159204578
8020.0,5.0,5.0,0.09,0.15,10.069043469016279
